seed,variant,total_cost,cover12_count
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,9,38,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,10,32,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,11,38,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,12,29,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,13,29,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,14,32,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,15,29,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,16,39,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,17,29,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,18,39,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,19,32,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,20,39,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,21,39,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,22,32,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,23,39,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,24,29,276
