triad_id,w33_a,w33_b,w33_c,n12_a,n12_b,n12_c,cover_size,cover12,mask_hex
257,11,26,33,C17,C12,C07,12,1,0xfff
258,11,27,31,C17,C37,C20,12,1,0xfff
259,11,28,35,C17,C05,C29,12,1,0xfff
260,11,29,36,C17,C11,C15,12,1,0xfff
261,12,13,30,C03,C31,C18,12,1,0xfff
262,12,13,35,C03,C31,C29,12,1,0xfff
263,12,15,29,C03,C26,C11,12,1,0xfff
264,12,15,34,C03,C26,C19,12,1,0xfff
265,12,16,24,C03,C14,C24,12,1,0xfff
266,12,16,38,C03,C14,X36,12,1,0xfff
267,12,17,22,C03,C06,C23,12,1,0xfff
268,12,17,39,C03,C06,C21,12,1,0xfff
269,12,20,25,C03,C32,C34,12,1,0xfff
270,12,20,33,C03,C32,C07,12,1,0xfff
271,12,21,26,C03,C10,C12,12,1,0xfff
272,12,21,31,C03,C10,C20,12,1,0xfff
273,12,22,39,C03,C23,C21,12,1,0xfff
274,12,24,38,C03,C24,X36,9,0,0xff8
275,12,25,33,C03,C34,C07,12,1,0xfff
276,12,26,31,C03,C12,C20,12,1,0xfff
277,12,29,34,C03,C11,C19,9,0,0xff8
278,12,30,35,C03,C18,C29,9,0,0xff8
279,13,22,31,C31,C23,C20,12,1,0xfff
280,13,23,33,C31,C25,C07,12,1,0xfff
281,13,24,32,C31,C24,X35,12,1,0xfff
282,13,25,37,C31,C34,C09,12,1,0xfff
283,13,26,39,C31,C12,C21,12,1,0xfff
284,13,27,38,C31,C37,X36,12,1,0xfff
285,13,28,34,C31,C05,C19,12,1,0xfff
286,13,29,36,C31,C11,C15,12,1,0xfff
287,13,30,35,C31,C18,C29,12,1,0xfff
288,14,16,21,C16,C14,C10,12,1,0xfff
289,14,17,20,C16,C06,C32,12,1,0xfff
290,14,18,19,C16,C33,F35,9,0,0xfc7
291,14,22,33,C16,C23,C07,12,1,0xfff
292,14,23,32,C16,C25,X35,12,1,0xfff
293,14,24,31,C16,C24,C20,12,1,0xfff
294,14,25,39,C16,C34,C21,12,1,0xfff
295,14,26,38,C16,C12,X36,12,1,0xfff
296,14,27,37,C16,C37,C09,12,1,0xfff
297,15,16,20,C26,C14,C32,9,0,0xfc7
298,15,17,19,C26,C06,F35,12,1,0xfff
299,15,18,21,C26,C33,C10,12,1,0xfff
300,15,22,32,C26,C23,X35,12,1,0xfff
301,15,23,31,C26,C25,C20,12,1,0xfff
302,15,24,33,C26,C24,C07,12,1,0xfff
303,15,28,35,C26,C05,C29,12,1,0xfff
304,15,29,34,C26,C11,C19,12,1,0xfff
305,15,30,36,C26,C18,C15,12,1,0xfff
306,16,17,18,C14,C06,C33,12,1,0xfff
307,16,22,37,C14,C23,C09,12,1,0xfff
308,16,24,38,C14,C24,X36,12,1,0xfff
309,16,25,34,C14,C34,C19,12,1,0xfff
310,16,27,35,C14,C37,C29,12,1,0xfff
311,16,28,31,C14,C05,C20,12,1,0xfff
312,16,30,32,C14,C18,X35,12,1,0xfff
313,17,22,39,C06,C23,C21,12,1,0xfff
314,17,24,37,C06,C24,C09,12,1,0xfff
315,17,25,36,C06,C34,C15,12,1,0xfff
316,17,26,35,C06,C12,C29,12,1,0xfff
317,17,29,32,C06,C11,X35,6,0,0xe38
318,17,30,31,C06,C18,C20,12,1,0xfff
319,18,22,38,C33,C23,X36,12,1,0xfff
320,18,24,39,C33,C24,C21,12,1,0xfff
321,18,26,34,C33,C12,C19,12,1,0xfff
322,18,27,36,C33,C37,C15,9,0,0xff8
