tetra_id,Pi_family_S6,Pi_type_single_double,rank_block,rank_block_P1F9,rank_block_triads,points,points_rank_suit,suits_by_rank_order,suit_pattern_sorted
53,syntheme,double,"[1, 4, 5, 9]","['0', '2+2a', '2', '2a']","[[[1, 2, 4], [3, 5, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 5, 6], [2, 3, 4]]]","[5, 10, 12, 27]","['1:1', '4:2', '5:0', '9:3']","[1, 2, 0, 3]","[0, 1, 2, 3]"
54,syntheme,double,"[1, 4, 5, 9]","['0', '2+2a', '2', '2a']","[[[1, 2, 4], [3, 5, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 5, 6], [2, 3, 4]]]","[6, 21, 24, 39]","['1:2', '4:1', '5:3', '9:0']","[2, 1, 3, 0]","[0, 1, 2, 3]"
55,syntheme,double,"[1, 4, 5, 9]","['0', '2+2a', '2', '2a']","[[[1, 2, 4], [3, 5, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 5, 6], [2, 3, 4]]]","[7, 18, 20, 33]","['1:3', '4:0', '5:1', '9:2']","[3, 0, 1, 2]","[0, 1, 2, 3]"
56,duad,single,"[1, 4, 6, 8]","['0', '2+2a', '1+2a', '1a']","[[[1, 2, 4], [3, 5, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 4, 6], [2, 3, 5]], [[1, 3, 4], [2, 5, 6]]]","[4, 10, 13, 35]","['1:0', '4:2', '6:1', '8:3']","[0, 2, 1, 3]","[0, 1, 2, 3]"
57,duad,single,"[1, 4, 6, 8]","['0', '2+2a', '1+2a', '1a']","[[[1, 2, 4], [3, 5, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 4, 6], [2, 3, 5]], [[1, 3, 4], [2, 5, 6]]]","[7, 21, 32, 38]","['1:3', '4:1', '6:2', '8:0']","[3, 1, 2, 0]","[0, 1, 2, 3]"
58,duad,single,"[1, 5, 6, 7]","['0', '2', '1+2a', '1+1a']","[[[1, 2, 4], [3, 5, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 4, 6], [2, 3, 5]], [[1, 3, 5], [2, 4, 6]]]","[5, 15, 16, 34]","['1:1', '5:2', '6:0', '7:3']","[1, 2, 0, 3]","[0, 1, 2, 3]"
59,duad,single,"[1, 5, 6, 7]","['0', '2', '1+2a', '1+1a']","[[[1, 2, 4], [3, 5, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 4, 6], [2, 3, 5]], [[1, 3, 5], [2, 4, 6]]]","[6, 31, 33, 36]","['1:2', '5:1', '6:3', '7:0']","[2, 1, 3, 0]","[0, 1, 2, 3]"
60,syntheme,double,"[2, 3, 5, 7]","['1', '2+1a', '2', '1+1a']","[[[1, 2, 5], [3, 4, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 2, 6], [3, 4, 5]], [[1, 3, 5], [2, 4, 6]]]","[8, 19, 34, 37]","['2:0', '3:3', '5:2', '7:1']","[0, 3, 2, 1]","[0, 1, 2, 3]"
61,syntheme,double,"[2, 3, 5, 7]","['1', '2+1a', '2', '1+1a']","[[[1, 2, 5], [3, 4, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 2, 6], [3, 4, 5]], [[1, 3, 5], [2, 4, 6]]]","[9, 26, 36, 39]","['2:2', '3:1', '5:3', '7:0']","[2, 1, 3, 0]","[0, 1, 2, 3]"
62,syntheme,double,"[2, 3, 5, 7]","['1', '2+1a', '2', '1+1a']","[[[1, 2, 5], [3, 4, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 2, 6], [3, 4, 5]], [[1, 3, 5], [2, 4, 6]]]","[12, 15, 22, 25]","['2:1', '3:2', '5:0', '7:3']","[1, 2, 0, 3]","[0, 1, 2, 3]"
63,syntheme,double,"[2, 3, 5, 7]","['1', '2+1a', '2', '1+1a']","[[[1, 2, 5], [3, 4, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 2, 6], [3, 4, 5]], [[1, 3, 5], [2, 4, 6]]]","[14, 23, 28, 33]","['2:3', '3:0', '5:1', '7:2']","[3, 0, 1, 2]","[0, 1, 2, 3]"
64,duad,single,"[2, 3, 6, 8]","['1', '2+1a', '1+2a', '1a']","[[[1, 2, 5], [3, 4, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 4, 6], [2, 3, 5]], [[1, 3, 4], [2, 5, 6]]]","[8, 17, 22, 31]","['2:0', '3:2', '6:3', '8:1']","[0, 2, 3, 1]","[0, 1, 2, 3]"
65,duad,single,"[2, 3, 6, 8]","['1', '2+1a', '1+2a', '1a']","[[[1, 2, 5], [3, 4, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 4, 6], [2, 3, 5]], [[1, 3, 4], [2, 5, 6]]]","[9, 16, 23, 30]","['2:3', '3:1', '6:0', '8:2']","[3, 1, 0, 2]","[0, 1, 2, 3]"
66,syntheme,double,"[2, 4, 5, 6]","['1', '2+2a', '2', '1+2a']","[[[1, 2, 5], [3, 4, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 4, 6], [2, 3, 5]]]","[8, 11, 33, 38]","['2:0', '4:3', '5:1', '6:2']","[0, 3, 1, 2]","[0, 1, 2, 3]"
67,syntheme,double,"[2, 4, 5, 6]","['1', '2+2a', '2', '1+2a']","[[[1, 2, 5], [3, 4, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 4, 6], [2, 3, 5]]]","[10, 16, 25, 39]","['2:1', '4:2', '5:3', '6:0']","[1, 2, 3, 0]","[0, 1, 2, 3]"
68,syntheme,double,"[2, 4, 5, 6]","['1', '2+2a', '2', '1+2a']","[[[1, 2, 5], [3, 4, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 4, 6], [2, 3, 5]]]","[12, 21, 26, 31]","['2:2', '4:1', '5:0', '6:3']","[2, 1, 0, 3]","[0, 1, 2, 3]"
69,syntheme,double,"[2, 4, 5, 6]","['1', '2+2a', '2', '1+2a']","[[[1, 2, 5], [3, 4, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 4, 6], [2, 3, 5]]]","[13, 20, 23, 34]","['2:3', '4:0', '5:2', '6:1']","[3, 0, 2, 1]","[0, 1, 2, 3]"
70,duad,single,"[2, 4, 7, 9]","['1', '2+2a', '1+1a', '2a']","[[[1, 2, 5], [3, 4, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 3, 5], [2, 4, 6]], [[1, 5, 6], [2, 3, 4]]]","[8, 15, 18, 21]","['2:0', '4:1', '7:3', '9:2']","[0, 1, 3, 2]","[0, 1, 2, 3]"
71,duad,single,"[2, 4, 7, 9]","['1', '2+2a', '1+1a', '2a']","[[[1, 2, 5], [3, 4, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 3, 5], [2, 4, 6]], [[1, 5, 6], [2, 3, 4]]]","[10, 23, 29, 36]","['2:3', '4:2', '7:0', '9:1']","[3, 2, 0, 1]","[0, 1, 2, 3]"
72,duad,single,"[2, 5, 8, 9]","['1', '2', '1a', '2a']","[[[1, 2, 5], [3, 4, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 3, 4], [2, 5, 6]], [[1, 5, 6], [2, 3, 4]]]","[24, 26, 33, 35]","['2:2', '5:1', '8:3', '9:0']","[2, 1, 3, 0]","[0, 1, 2, 3]"
