aut_index,perm,comm_norm
24,"(12,22,18,10,6,16,0,4)(1,17,20,9,13,23,14,3,7,11,8,21,19,5,2,15)",76.94153624668537
25,"(12,19,15,10,6,13,3,4,18,1,9,16)(2,11)(8,23)(20,5,14,17)(21,22,0,7)",76.94153624668537
121,"(12,18,6,0)(1,16,15,13,10,21,19,4,9,7,22,3)(2,8)(20,14)(5,17,11)",76.94153624668537
30,"(12,0,6,18)(1,13,7,19)(2,10,11)(8,22,17,20,4,23,14,16,5)(9,21)",76.94153624668537
46,"(12,0)(1,11,15,20,22,13,23,3,14,4,7,5,21,8,16)(19,17,9,2,10)",77.14920608794364
26,"(12,6,0,18)(1,14,5,15,10,13,8,17,21,22,7,20,11,3,16,19,2,23,9,4)",77.14920608794364
27,"(12,14,15,6,8,3,18,2,9,0,20,21)(4,23)(10,17,16,11)(22,5)",77.14920608794364
31,"(12,20)(18,2,0,14,6,8)(1,17,10,21)(13,23,16,9)(19,5,4,15)(3,7,11,22)",77.14920608794364
35,"(12,22,11,14,1,6,10,5,8,13,0,16,23,2,7,18,4,17,20,19)(3,15,9,21)",77.14920608794364
40,"(12,6)(18,0)(1,8,3,11,7,2,21,17,13,14,9,23,19,20,15,5)(10,16)",77.14920608794364
36,"(12,3,20,22,13,17,6,15,8,16,7,23)(18,21,14,10,19,5)(1,11,0,9,2,4)",77.14920608794364
51,"(18,0,6)(1,13)(19,7)(2,20)(3,11,16)(9,17,10,21,23,22)(4,15,5)",77.14920608794364
42,"(12,7,5,4)(18,19,17,16,0,13,11,22,6,1,23,10)(2,8,14)(3,9,15,21)",77.14920608794364
65,"(12,21,18,15,6,9,0,3)(1,16,5,20)(13,4,11,2,19,22,17,8,7,10,23,14)",77.14920608794364
53,"(12,22,7,2,21,0,10,13,20,15,18,16,19,8,9,6,4,1,14,3)(5,23,17)",77.14920608794364
54,"(12,21,10,19,18,3,16,1)(13,6,15,22)(2,14,20)(9,4,7,0)(11,23)",77.14920608794364
59,"(12,21,5,0,15,11)(18,3,23)(1,2,10,19,8,22,13,14,16)(20,4,7)(9,17,6)",77.14920608794364
61,"(12,23,2,15)(18,5,8,9,0,11,14,21,6,17,20,3)(1,16,13,4,7,10,19,22)",77.14920608794364
60,"(12,17,3,16,18,5,15,22,6,11,9,4,0,23,21,10)(1,7,13,19)(2,14,8,20)",77.14920608794364
122,"(12,8,5,16)(18,2,17,4,6,20,23,22,0,14,11,10)(1,13,7,19)(3,21)(9,15)",77.14920608794364
117,"(12,23,2,6,17,20,18,11,14)(13,7)(8,0,5)(3,10)(9,4,21,22,15,16)",77.14920608794364
102,"(12,10,21,5,8)(18,22,9,11,2,6,4,3,23,14,0,16,15,17,20)(13,7)",77.14920608794364
106,"(12,11,22,1,21)(18,23,4,7,15)(13,3,0,17,16,19,9,6,5,10)",77.14920608794364
101,"(12,19,6,7,0,1,18,13)(2,20,8,14)(3,9,15,21)(4,23,22,5)(10,11,16,17)",77.14920608794364
85,"(18,0,6)(1,10,9,2,13,4,3,14,19,16,21,20,7,22,15,8)(5,11,23)",77.14920608794364
91,"(12,23,15,18,11,3,6,17,21,0,5,9)(1,8,4,7,2,16,19,14,10)(13,20,22)",77.14920608794364
90,"(12,13)(18,19)(1,6,7,0)(8,14)(3,17,15,23)(9,5,21,11)(10,16,22)",77.14920608794364
78,"(12,3,13,0,15,1,6,21,19)(18,9,7)(2,5,22,8,11,16,20,23,4)(10,14,17)",77.14920608794364
69,"(12,21,13)(18,3,7,0,15,19)(1,6,9)(2,14,20)(4,10)(11,23,17)",77.14920608794364
136,"(12,3,13,5,14,16)(18,15,1,11,2,10,6,9,19,23,20,4)(8,22,0,21,7,17)",77.14920608794364
134,"(12,0,6,18)(1,20,4,13,14,10,7,2,22,19,8,16)(3,11,21,17,15,5)(9,23)",77.14920608794364
144,"(12,6,0,18)(1,15,4,23,2,7,3,22,11,14,19,9,10,17,8)(13,21,16,5,20)",77.14920608794364
