mu,t,line_id,prob,mask_size,density
0.75,0.75,31,0.4317100276521144,2,0.2158550138260572
0.75,0.75,32,0.2583936192068629,8,0.03229920240085786
0.75,0.75,33,0.03857960633550475,2,0.019289803167752376
0.75,0.75,34,0.014638190340841562,2,0.007319095170420781
0.75,0.75,35,0.2570734548808469,8,0.03213418186010586
0.75,0.75,36,0.21328377678852228,8,0.026660472098565285
0.75,0.75,37,0.03862553478398609,2,0.019312767391993044
0.75,0.75,38,0.07802420423855286,2,0.03901210211927643
0.75,0.75,39,0.5629520285670135,8,0.07036900357087669
0.75,1.0,0,0.02900292203799259,2,0.014501461018996294
0.75,1.0,1,0.30139243501467794,8,0.03767405437683474
0.75,1.0,2,0.16308122409932885,8,0.020385153012416106
0.75,1.0,3,0.1990541046582311,8,0.024881763082278886
0.75,1.0,4,0.33807671411666906,8,0.04225958926458363
0.75,1.0,5,0.3375396151652676,8,0.04219245189565845
0.75,1.0,6,0.4010649818625155,8,0.050133122732814436
0.75,1.0,7,0.21192778585901575,8,0.02649097323237697
0.75,1.0,8,0.3993423053764636,8,0.04991778817205795
0.75,1.0,9,0.0685823931108154,2,0.0342911965554077
0.75,1.0,10,0.9999999999999994,24,0.041666666666666644
0.75,1.0,11,0.16534099953678227,8,0.020667624942097784
0.75,1.0,12,0.02957210439551687,2,0.014786052197758436
0.75,1.0,13,0.26311807945826815,8,0.03288975993228352
0.75,1.0,14,0.3988052064250621,8,0.049850650803132765
0.75,1.0,15,0.17767758178616544,8,0.02220969772327068
0.75,1.0,16,0.35041329636605223,8,0.04380166204575653
0.75,1.0,17,0.38646862417567895,8,0.04830857802195987
0.75,1.0,18,0.26382947800135703,8,0.03297868475016963
0.75,1.0,19,0.43585379403815494,8,0.05448172425476937
0.75,1.0,20,0.4995534603270903,8,0.06244418254088629
0.75,1.0,21,0.2143618608881566,8,0.026795232611019574
0.75,1.0,22,0.45053259897571596,8,0.056316574871964495
0.75,1.0,23,0.38700723227846806,8,0.04837590403480851
0.75,1.0,24,0.213323953034931,2,0.1066619765174655
0.75,1.0,25,0.03826222884173684,2,0.01913111442086842
0.75,1.0,26,0.40160358996530465,8,0.05020044874566308
0.75,1.0,27,0.029493455546237453,2,0.014746727773118726
0.75,1.0,28,0.3986309068333747,8,0.04982886335417184
0.75,1.0,29,0.050520162241840576,2,0.025260081120920288
0.75,1.0,30,0.43531518593536583,8,0.05441439824192073
0.75,1.0,31,0.2832796687409455,2,0.14163983437047276
0.75,1.0,32,0.3373653155735802,8,0.04217066444669752
0.75,1.0,33,0.05677621165891971,2,0.028388105829459855
0.75,1.0,34,0.03543327104675914,2,0.01771663552337957
0.75,1.0,35,0.33510554013612676,8,0.041888192517015845
0.75,1.0,36,0.2632923790499556,8,0.03291154738124445
0.75,1.0,37,0.056997076693763755,2,0.028498538346881878
0.75,1.0,38,0.10875655265054045,2,0.054378276325270224
0.75,1.0,39,0.48424570409716483,8,0.060530713012145604
0.75,1.25,0,0.03218472158176488,2,0.01609236079088244
0.75,1.25,1,0.2995113118258657,8,0.037438913978233214
0.75,1.25,2,0.24152774222996426,8,0.030190967778745532
0.75,1.25,3,0.26794750386100274,8,0.03349343798262534
0.75,1.25,4,0.35142530402025873,8,0.04392816300253234
0.75,1.25,5,0.3453063289964808,8,0.0431632911245601
0.75,1.25,6,0.33427263548937947,8,0.04178407943617243
0.75,1.25,7,0.2718931567108006,8,0.033986644588850076
0.75,1.25,8,0.3403672134504976,8,0.0425459016813122
0.75,1.25,9,0.09821217258918959,2,0.04910608629459479
0.75,1.25,10,0.9999999999999992,24,0.04166666666666664
0.75,1.25,11,0.24155213929262417,8,0.030194017411578022
0.75,1.25,12,0.03734954525698428,2,0.01867477262849214
0.75,1.25,13,0.3143264575530209,8,0.039290807194127614
0.75,1.25,14,0.3342482384267196,8,0.04178102980333995
0.75,1.25,15,0.2393788171186441,8,0.02992235213983051
0.75,1.25,16,0.34925198184627865,8,0.04365649773078483
0.75,1.25,17,0.3364215606006997,8,0.042052695075087465
0.75,1.25,18,0.3398206881163755,8,0.04247758601454694
0.75,1.25,19,0.4241996222806555,8,0.05302495278508194
0.75,1.25,20,0.4325411843131308,8,0.05406764803914135
0.75,1.25,21,0.29129280931303714,8,0.03641160116412964
0.75,1.25,22,0.3828005142927179,8,0.047850064286589736
0.75,1.25,23,0.39383420779981915,8,0.04922927597497739
0.75,1.25,24,0.17216892392484948,2,0.08608446196242474
0.75,1.25,25,0.05334712405940265,2,0.026673562029701326
0.75,1.25,26,0.391685282688499,8,0.048960660336062375
0.75,1.25,27,0.057808121062267064,2,0.028904060531133532
0.75,1.25,28,0.31487298288714294,8,0.03935912286089287
0.75,1.25,29,0.07163237769070532,2,0.03581618884535266
0.75,1.25,30,0.366786975081536,8,0.045848371885192
0.75,1.25,31,0.17710841215750664,2,0.08855420607875332
0.75,1.25,32,0.3259310734569042,8,0.040741384182113025
0.75,1.25,33,0.06823030389088716,2,0.03411515194544358
0.75,1.25,34,0.048157903321523324,2,0.024078951660761662
0.75,1.25,35,0.32590667639424425,8,0.04073833454928053
0.75,1.25,36,0.33370171309259755,8,0.041712714136574694
0.75,1.25,37,0.06810113497373957,2,0.034050567486869784
0.75,1.25,38,0.11569925949117929,2,0.057849629745589645
0.75,1.25,39,0.40919587886109643,8,0.051149484857637054
0.75,1.5,0,0.04589570659914052,2,0.02294785329957026
0.75,1.5,1,0.3018169030228772,8,0.03772711287785965
