u,v,w,z2_triangle_parity,s3_holonomy,s3_class,s3_sign
1,7,38,0,"(0, 1, 2)",id,0
1,7,39,1,"(2, 1, 0)",transposition,1
1,7,41,0,"(0, 1, 2)",id,0
1,7,42,1,"(0, 1, 2)",id,0
1,7,44,0,"(0, 1, 2)",id,0
1,8,10,1,"(1, 0, 2)",transposition,1
1,8,12,0,"(0, 1, 2)",id,0
1,8,16,1,"(1, 2, 0)",3-cycle,0
1,8,18,1,"(2, 1, 0)",transposition,1
1,8,20,0,"(0, 1, 2)",id,0
1,8,24,1,"(2, 1, 0)",transposition,1
1,8,26,1,"(0, 1, 2)",id,0
1,8,28,0,"(0, 1, 2)",id,0
1,8,32,1,"(2, 0, 1)",3-cycle,0
1,8,36,0,"(0, 1, 2)",id,0
1,8,38,1,"(1, 0, 2)",transposition,1
1,8,39,0,"(0, 1, 2)",id,0
1,8,41,1,"(2, 1, 0)",transposition,1
1,8,42,0,"(0, 1, 2)",id,0
1,8,44,1,"(1, 2, 0)",3-cycle,0
1,9,10,0,"(0, 1, 2)",id,0
1,9,12,1,"(0, 2, 1)",transposition,1
1,9,14,1,"(1, 0, 2)",transposition,1
1,9,16,1,"(1, 2, 0)",3-cycle,0
1,9,17,0,"(0, 1, 2)",id,0
1,9,18,0,"(0, 1, 2)",id,0
1,9,20,0,"(1, 0, 2)",transposition,1
1,9,22,0,"(1, 0, 2)",transposition,1
1,9,24,0,"(0, 2, 1)",transposition,1
1,9,25,0,"(0, 1, 2)",id,0
1,9,26,0,"(0, 1, 2)",id,0
1,9,39,0,"(0, 1, 2)",id,0
1,9,40,0,"(0, 1, 2)",id,0
1,9,41,0,"(2, 1, 0)",transposition,1
1,9,42,1,"(0, 1, 2)",id,0
1,9,43,1,"(2, 0, 1)",3-cycle,0
1,9,44,1,"(1, 2, 0)",3-cycle,0
1,10,12,1,"(1, 0, 2)",transposition,1
1,10,14,1,"(0, 2, 1)",transposition,1
1,10,16,1,"(0, 1, 2)",id,0
1,10,17,0,"(0, 1, 2)",id,0
